NAICS,SIC
111140,111
111160,112
111150,115
111110,116
111120,119
111130,119
111150,119
111191,119
111199,119
111920,131
111910,132
111930,133
111991,133
111211,134
111199,139
111211,139
111219,139
111940,139
111992,139
111998,139
112519,139
111211,161
111219,161
111333,171
111334,171
111332,172
111335,173
111310,174
111320,174
111331,175
111339,175
111336,179
111339,179
111421,181
111422,181
111411,182
111419,182
111998,191
112519,191
112112,211
112111,212
112210,213
112410,214
112420,214
112990,219
112111,241
112120,241
112320,251
112310,252
112330,253
112340,254
112390,259
112930,271
112920,272
112511,273
112512,273
112519,273
112519,279
112910,279
112990,279
112990,291
115112,711
115112,721
115113,722
115114,723
311119,723
115111,724
541940,741
541940,742
115210,751
311611,751
115210,752
812910,752
115115,761
115116,762
541320,781
541690,781
561730,782
561730,783
111421,811
113110,811
111998,831
112519,831
113210,831
115310,851
114111,912
114112,913
111998,919
112512,919
112519,919
114112,919
114119,919
112511,921
112512,921
114210,971
212210,1011
212230,1021
212230,1031
212221,1041
212222,1044
212230,1061
212299,1061
213114,1081
238910,1081
541360,1081
212291,1094
212299,1099
212111,1221
212112,1222
212113,1231
213113,1241
238910,1241
211120,1311
211130,1321
213111,1381
213112,1382
541360,1382
213112,1389
237120,1389
238910,1389
212311,1411
212312,1422
212313,1423
212319,1429
212321,1442
212322,1446
212324,1455
212325,1459
212391,1474
212392,1475
212393,1479
213115,1481
238910,1481
541360,1481
212319,1499
212399,1499
236115,1521
236118,1521
236116,1522
236118,1522
236220,1522
236117,1531
236118,1531
236210,1531
236220,1531
236210,1541
236220,1541
236220,1542
237310,1611
237310,1622
237990,1622
237110,1623
237120,1623
237130,1623
236210,1629
237110,1629
237120,1629
237130,1629
237990,1629
238910,1629
238210,1711
238220,1711
238910,1711
237310,1721
238320,1721
238210,1731
238140,1741
238310,1742
238310,1743
238340,1743
238130,1751
238350,1751
238310,1752
238330,1752
238160,1761
238170,1761
238390,1761
238110,1771
238140,1771
238990,1771
237110,1781
238120,1791
238190,1791
238220,1791
238310,1791
238150,1793
238910,1794
238910,1795
238220,1796
238290,1796
236220,1799
237990,1799
238150,1799
238190,1799
238290,1799
238310,1799
238320,1799
238350,1799
238390,1799
238910,1799
238990,1799
561790,1799
562910,1799
311611,2011
311612,2013
311613,2013
311615,2015
311999,2015
311512,2021
311513,2022
311511,2023
311514,2023
311520,2024
311511,2026
311514,2026
311422,2032
311999,2032
311421,2033
311211,2034
311423,2034
311999,2034
311421,2035
311941,2035
311411,2037
311412,2038
311211,2041
311230,2043
311920,2043
311212,2044
311824,2045
311221,2046
311225,2046
311111,2047
311119,2048
311611,2048
311812,2051
311812,2052
311821,2052
311919,2052
311813,2053
311314,2061
311314,2062
311313,2063
311340,2064
311352,2064
311351,2066
311352,2066
311340,2067
311911,2068
311224,2074
311225,2074
311224,2075
311225,2075
311224,2076
311225,2076
311613,2077
311710,2077
311710,2077
311224,2079
311224,2079
311225,2079
311942,2082
312120,2082
311213,2083
312130,2084
312130,2085
312140,2085
312111,2086
312112,2086
311920,2087
311930,2087
311942,2087
311999,2087
311710,2091
311710,2092
311920,2095
311919,2096
312113,2097
311824,2098
111998,2099
112519,2099
311212,2099
311340,2099
311423,2099
311824,2099
311830,2099
311911,2099
311920,2099
311941,2099
311942,2099
311991,2099
311999,2099
312230,2111
312230,2121
312230,2131
312230,2141
312230,2141
313210,2211
313210,2221
313210,2231
313310,2231
313310,2231
313220,2241
313310,2251
315110,2251
313310,2252
315110,2252
315110,2252
313310,2253
315190,2253
315190,2253
313310,2254
315190,2254
313240,2257
313310,2257
313240,2258
313310,2258
313240,2259
313240,2259
313310,2259
315190,2259
315190,2259
313310,2261
313310,2262
313310,2269
313310,2269
314110,2273
313110,2281
313110,2282
313110,2284
313310,2284
313320,2295
314994,2296
313230,2297
313110,2298
314994,2298
313110,2299
313110,2299
313110,2299
313210,2299
313220,2299
313230,2299
313310,2299
314999,2299
314999,2311
315210,2311
315220,2311
314999,2321
315210,2321
315220,2321
314999,2322
315210,2322
315220,2322
314999,2323
315210,2323
315990,2323
314999,2325
315210,2325
315220,2325
314999,2326
315210,2326
315220,2326
314999,2329
315210,2329
315220,2329
315280,2329
314999,2331
315210,2331
315240,2331
314999,2335
315210,2335
315240,2335
314999,2337
315210,2337
315240,2337
314999,2339
315210,2339
315240,2339
315280,2339
315990,2339
314999,2341
314999,2341
315210,2341
315210,2341
315220,2341
315240,2341
315240,2341
314999,2342
315210,2342
315240,2342
314999,2353
314999,2353
315210,2353
315210,2353
315990,2353
314999,2361
314999,2361
315210,2361
315210,2361
315220,2361
315240,2361
315240,2361
315240,2361
314999,2369
314999,2369
315210,2369
315210,2369
315220,2369
315220,2369
315220,2369
315220,2369
315240,2369
315240,2369
315240,2369
315240,2369
314999,2371
314999,2371
315210,2371
315210,2371
315280,2371
314999,2381
314999,2381
315210,2381
315210,2381
315990,2381
314999,2384
314999,2384
315210,2384
315210,2384
315220,2384
315240,2384
314999,2385
314999,2385
315210,2385
315210,2385
315220,2385
315220,2385
315240,2385
315240,2385
315240,2385
315280,2385
315990,2385
314999,2386
314999,2386
315210,2386
315210,2386
315280,2386
314999,2387
314999,2387
315210,2387
315210,2387
315990,2387
314999,2389
314999,2389
315210,2389
315210,2389
315240,2389
315280,2389
315990,2389
314120,2391
314120,2392
314910,2392
314999,2392
339994,2392
314910,2393
314910,2394
314999,2395
314999,2395
314999,2395
315210,2395
315210,2395
314999,2396
314999,2396
314999,2396
315210,2396
315210,2396
315990,2396
323113,2396
336360,2396
313220,2397
314999,2399
314999,2399
314999,2399
315210,2399
315210,2399
315990,2399
336360,2399
113310,2411
321113,2421
321912,2421
321918,2421
321920,2421
321999,2421
321113,2426
321912,2426
321918,2426
337215,2426
321113,2429
321920,2429
321999,2429
321911,2431
321918,2431
337110,2434
321211,2435
321212,2436
321213,2439
321214,2439
321920,2441
321920,2448
321920,2449
321991,2451
321992,2452
321114,2491
321219,2493
321920,2499
321999,2499
333415,2499
337125,2499
339113,2499
339999,2499
337122,2511
337215,2511
337121,2512
337121,2514
337124,2514
337215,2514
337121,2515
337910,2515
321999,2517
337125,2519
337211,2521
337214,2522
336360,2531
337127,2531
339940,2531
337110,2541
337127,2541
337212,2541
337215,2541
337127,2542
337215,2542
337920,2591
333249,2599
333415,2599
333994,2599
333997,2599
333999,2599
337127,2599
337127,2599
339113,2599
322110,2611
322121,2611
322122,2611
322130,2611
322121,2621
322122,2621
322130,2631
322219,2652
322211,2653
322219,2655
322219,2656
322212,2657
322220,2671
326112,2671
322220,2672
322220,2673
326111,2673
322220,2674
322220,2675
322230,2675
322299,2675
322291,2676
322230,2677
322230,2678
322211,2679
322220,2679
322230,2679
322299,2679
511110,2711
519130,2711
511120,2721
519130,2721
511130,2731
512230,2731
