"Concordance between the North American Industry Classification System (NAICS) Canada 2017 Version 3.0 and the International Standard Industrial Classification (ISIC), Rev. 4",,,,
NAICS Canada 2017 Version 3.0 Code,NAICS Canada 2017 Version 3.0 Title,ISIC Rev. 4 Code,ISIC Rev. 4 Title,Explanatory Notes
111110,Soybean farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Soybean farming
111120,Oilseed (except soybean) farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Oilseed (except soybean) farming
111130,Dry pea and bean farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Dry pea and bean farming
111140,Wheat farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Wheat farming
111150,Corn farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Corn (except sweet corn) farming
111160,Rice farming,A0112,Growing of rice,
111190,Other grain farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds","Grain, including wild rice (except oil seeds, dry peas and beans, wheat, corn and rice) farming and combinations of this industry group"
111211,Potato farming,A0113*,"Growing of vegetables and melons, roots and tubers","Potatoes, yams and sweet potatoes farming"
111219,Other vegetable (except potato) and melon farming,A0113*,"Growing of vegetables and melons, roots and tubers","Vegetables (except potatoes, peppers, mangels and other roots and tubers) and melons, grown in open fields"
111219,Other vegetable (except potato) and melon farming,A0119*,Growing of other non-perennial crops,Mangels and other roots and tubers (except potato)
111219,Other vegetable (except potato) and melon farming,A0128*,"Growing of spices, aromatic, drug and pharmaceutical crops","Pepper farming (e.g., bell, chili, green, hot, red, sweet)"
111310,Orange groves,A0123*,Growing of citrus fruits,Orange growing
111320,Citrus (except orange) groves,A0123*,Growing of citrus fruits,Growing citrus fruits (except oranges)
111330,Non-citrus fruit and tree nut farming,A0121,Growing of grapes,
111330,Non-citrus fruit and tree nut farming,A0122,Growing of tropical and subtropical fruits,
111330,Non-citrus fruit and tree nut farming,A0124,Growing of pome fruits and stone fruits,
111330,Non-citrus fruit and tree nut farming,A0125*,Growing of other tree and bush fruits and nuts,Growing of berries or edible nuts
111330,Non-citrus fruit and tree nut farming,A0126,Growing of oleaginous fruits,
111330,Non-citrus fruit and tree nut farming,A0127*,Growing of beverage crops,Coffee farming
111411,Mushroom production,A0113*,"Growing of vegetables and melons, roots and tubers","Mushrooms, farming"
111411,Mushroom production,A0130*,Plant propagation,Mushroom spawn farming
111412,Cannabis grown under cover,A0128*,"Growing of spices, aromatic, drug and pharmaceutical crops","Marijuana and cannabis grown under cover, hydroponically, cannabis seeds and seedlings grown under cover"
111412,Cannabis grown under cover,A0163*, Post-harvest crop activities,processing for primary markets cannabis grown under cover
111419,Other food crops grown under cover,A0113*,"Growing of vegetables and melons, roots and tubers","Vegetables and fruits, growing under cover"
111419,Other food crops grown under cover,A0125*,Growing of other tree and bush fruits and nuts,"Fruits, growing under cover"
111419,Other food crops grown under cover,A0128*,"Growing of spices, aromatic, drug and pharmaceutical crops","Spice crops, growing under cover"
111419,Other food crops grown under cover,A0322*,Freshwater aquaculture,"Seaweed, growing under cover"
